Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare
yes,c,Master,male,,1,1,15.2458
yes,b,Mrs.,female,29,0,0,10.5
no,c,Mr.,male,19,0,0,8.1583
yes,c,Miss.,female,17,4,2,7.925
no,c,Mr.,male,26,2,0,8.6625
no,b,Mr.,male,32,0,0,10.5
no,c,Miss.,female,16,5,2,46.9
no,b,Mr.,male,21,0,0,73.5
no,c,Mr.,male,26,1,0,14.4542
yes,c,Mr.,male,32,0,0,56.4958
no,c,Mr.,male,25,0,0,7.65
no,c,Mr.,male,,0,0,7.8958
no,c,Mr.,male,,0,0,8.05
yes,b,Master,male,0.83,0,2,29
yes,c,Miss.,female,30,0,0,12.475
no,c,Mr.,male,22,0,0,9
yes,c,Mr.,male,29,0,0,9.5
yes,c,Miss.,female,,0,0,7.7875
no,a,Mr.,male,28,0,0,47.1
yes,b,Miss.,female,17,0,0,10.5
yes,c,Mrs.,female,33,3,0,15.85
no,c,Mr.,male,16,1,3,34.375
no,c,Mr.,male,,0,0,8.05
yes,a,Miss.,female,23,3,2,263
no,c,Mr.,male,24,0,0,8.05
no,c,Mr.,male,29,0,0,8.05
no,c,Mr.,male,20,0,0,7.8542
no,a,Mr.,male,46,1,0,61.175
no,c,Mr.,male,26,1,2,20.575
no,c,Mr.,male,59,0,0,7.25
no,c,Mr.,male,,0,0,8.05
no,a,Mr.,male,71,0,0,34.6542
yes,a,Mr.,male,23,0,1,63.3583
yes,b,Mrs.,female,34,0,1,23
no,b,Mr.,male,34,1,0,26
no,c,Miss.,female,28,0,0,7.8958
no,c,Mr.,male,,0,0,7.8958
no,a,Mr.,male,21,0,1,77.2875
no,c,Mr.,male,33,0,0,8.6542
no,c,Mr.,male,37,2,0,7.925
no,c,Mr.,male,28,0,0,7.8958
yes,c,Miss.,female,21,0,0,7.65
yes,c,Mr.,male,,0,0,7.775
no,c,Mr.,male,38,0,0,7.8958
yes,c,Miss.,female,,1,0,24.15
no,a,Mr.,male,47,0,0,52
no,c,Miss.,female,14.5,1,0,14.4542
no,c,Mr.,male,22,0,0,8.05
no,c,Miss.,female,20,1,0,9.825
no,c,Miss.,female,17,0,0,14.4583
no,c,Mr.,male,21,0,0,7.925
no,c,Mr.,male,70.5,0,0,7.75
no,b,Mr.,male,29,1,0,21
no,a,Mr.,male,24,0,1,247.5208
no,c,Miss.,female,2,4,2,31.275
no,b,Mr.,male,21,2,0,73.5
no,c,Mr.,male,,0,0,8.05
no,b,Mr.,male,32.5,1,0,30.0708
yes,b,Miss.,female,32.5,0,0,13
no,a,Mr.,male,54,0,1,77.2875
yes,c,Master,male,12,1,0,11.2417
no,c,Mr.,male,,0,0,7.75
yes,c,Mr.,male,24,0,0,7.1417
yes,c,Miss.,female,,1,1,22.3583
no,c,Mr.,male,45,0,0,6.975
no,c,Mr.,male,33,0,0,7.8958
no,c,Mr.,male,20,0,0,7.05
no,c,Mrs.,female,47,1,0,14.5
yes,b,Mrs.,female,29,1,0,26
no,b,Mr.,male,25,0,0,13
no,b,Mr.,male,23,0,0,15.0458
yes,a,Miss.,female,19,0,2,26.2833
no,a,Mr.,male,37,1,0,53.1
no,c,Mr.,male,16,0,0,9.2167
no,a,Mr.,male,24,0,0,79.2
no,c,Mrs.,female,,0,2,15.2458
yes,c,Miss.,female,22,0,0,7.75
yes,c,Mrs.,female,24,1,0,15.85
no,c,Mr.,male,19,0,0,6.75
no,b,Mr.,male,18,0,0,11.5
no,b,Mr.,male,19,1,1,36.75
yes,c,Mr.,male,27,0,0,7.7958
no,c,Miss.,female,9,2,2,34.375
no,b,Mr.,male,36.5,0,2,26
no,b,noble,male,42,0,0,13
no,b,noble,male,51,0,0,12.525
yes,a,Mrs.,female,22,1,0,66.6
no,c,Mr.,male,55.5,0,0,8.05
no,c,Mr.,male,40.5,0,2,14.5
no,c,Mr.,male,,0,0,7.3125
no,a,Mr.,male,51,0,1,61.3792
yes,c,Miss.,female,16,0,0,7.7333
no,c,Mr.,male,30,0,0,8.05
no,c,Mr.,male,,0,0,8.6625
no,c,Master,male,,8,2,69.55
no,c,Mr.,male,44,0,1,16.1
yes,b,Mrs.,female,40,0,0,15.75
no,c,Mr.,male,26,0,0,7.775
no,c,Mr.,male,17,0,0,8.6625
no,c,Master,male,1,4,1,39.6875
yes,c,Master,male,9,0,2,20.525
yes,a,Mrs.,female,,0,1,55
no,c,Mrs.,female,45,1,4,27.9
no,a,Mr.,male,,0,0,25.925
no,c,Mr.,male,28,0,0,56.4958
no,a,Mr.,male,61,0,0,33.5
no,c,Master,male,4,4,1,29.125
yes,c,Miss.,female,1,1,1,11.1333
no,c,Mr.,male,21,0,0,7.925
no,a,Mr.,male,56,0,0,30.6958
no,c,Mr.,male,18,1,1,7.8542
no,c,Master,male,,3,1,25.4667
no,a,Miss.,female,50,0,0,28.7125
no,b,Mr.,male,30,0,0,13
no,c,Mr.,male,36,0,0,0
no,c,Miss.,female,,8,2,69.55
no,b,Mr.,male,,0,0,15.05
no,c,Master,male,9,4,2,31.3875
yes,b,Master,male,1,2,1,39
yes,c,Miss.,female,4,0,2,22.025
no,a,Mr.,male,,0,0,50
yes,c,Mrs.,female,,1,0,15.5
yes,a,Mr.,male,45,0,0,26.55
no,c,Mr.,male,40,1,1,15.5
no,c,Mr.,male,36,0,0,7.8958
yes,b,Mrs.,female,32,0,0,13
no,b,Mr.,male,19,0,0,13
yes,c,Miss.,female,19,1,0,7.8542
yes,b,Master,male,3,1,1,26
yes,a,Mrs.,female,44,0,0,27.7208
yes,a,Miss.,female,58,0,0,146.5208
no,c,Mr.,male,,0,0,7.75
no,c,Mr.,male,42,0,1,8.4042
yes,c,Miss.,female,,0,0,7.75
no,b,Miss.,female,24,0,0,13
no,c,Mr.,male,28,0,0,9.5
no,c,Mr.,male,,8,2,69.55
no,c,Mr.,male,34,0,0,6.4958
no,c,Mr.,male,45.5,0,0,7.225
yes,c,Mr.,male,18,0,0,8.05
no,c,Miss.,female,2,0,1,10.4625
no,c,Mr.,male,32,1,0,15.85
yes,c,Mr.,male,26,0,0,18.7875
yes,c,Miss.,female,16,0,0,7.75
yes,a,Mr.,male,40,0,0,31
no,c,Mr.,male,24,0,0,7.05
yes,b,Miss.,female,35,0,0,21
no,c,Mr.,male,22,0,0,7.25
no,b,Mr.,male,30,0,0,13
no,c,Mr.,male,,1,0,7.75
yes,a,Miss.,female,31,1,0,113.275
yes,c,Miss.,female,27,0,0,7.925
no,b,Mr.,male,42,1,0,27
yes,a,Miss.,female,32,0,0,76.2917
no,b,Mr.,male,30,0,0,10.5
yes,c,Mr.,male,16,0,0,8.05
no,b,Mr.,male,27,0,0,13
no,c,Mr.,male,51,0,0,8.05
no,c,Mr.,male,,0,0,7.8958
yes,a,Mr.,male,38,1,0,90
no,c,Mr.,male,22,0,0,9.35
yes,b,Mr.,male,19,0,0,10.5
no,c,Mr.,male,20.5,0,0,7.25
no,b,Mr.,male,18,0,0,13
no,c,Miss.,female,,3,1,25.4667
yes,a,Mrs.,female,35,1,0,83.475
no,c,Mr.,male,29,0,0,7.775
no,b,Mr.,male,59,0,0,13.5
yes,c,Miss.,female,5,4,2,31.3875
no,b,Mr.,male,24,0,0,10.5
no,c,Miss.,female,,0,0,7.55
no,b,Mr.,male,44,1,0,26
yes,b,Miss.,female,8,0,2,26.25
no,b,Mr.,male,19,0,0,10.5
no,b,Mr.,male,33,0,0,12.275
no,c,Miss.,female,,1,0,14.4542
yes,c,Miss.,female,,1,0,15.5
no,b,Mr.,male,29,0,0,10.5
no,c,Mr.,male,22,0,0,7.125
no,c,Mr.,male,30,0,0,7.225
no,a,noble,male,44,2,0,90
no,c,Miss.,female,25,0,0,7.775
yes,b,Mrs.,female,24,0,2,14.5
yes,a,Mr.,male,37,1,1,52.5542
no,b,noble,male,54,1,0,26
no,c,Mr.,male,,0,0,7.25
no,c,Mrs.,female,29,1,1,10.4625
no,a,Mr.,male,62,0,0,26.55
no,c,Mr.,male,30,1,0,16.1
no,c,Mrs.,female,41,0,2,20.2125
yes,c,Mrs.,female,29,0,2,15.2458
yes,a,Mrs.,female,,0,0,79.2
yes,a,Miss.,female,30,0,0,86.5
yes,a,Miss.,female,35,0,0,512.3292
yes,b,Mrs.,female,50,0,1,26
no,c,Mr.,male,,0,0,7.75
yes,c,Master,male,3,4,2,31.3875
no,a,Mr.,male,52,1,1,79.65
no,a,Mr.,male,40,0,0,0
no,c,Miss.,female,,0,0,7.75
no,b,Mr.,male,36,0,0,10.5
no,c,Mr.,male,16,4,1,39.6875
yes,c,Mr.,male,25,1,0,7.775
yes,a,Mrs.,female,58,0,1,153.4625
yes,a,Miss.,female,35,0,0,135.6333
no,a,Mr.,male,,0,0,31
yes,c,Mr.,male,25,0,0,0
yes,b,Mrs.,female,41,0,1,19.5
no,a,Mr.,male,37,0,1,29.7
yes,c,Miss.,female,,0,0,7.75
yes,a,Miss.,female,63,1,0,77.9583
no,c,Miss.,female,45,0,0,7.75
no,b,Mr.,male,,0,0,0
no,c,Master,male,7,4,1,29.125
yes,c,Mrs.,female,35,1,1,20.25
no,c,Mr.,male,65,0,0,7.75
no,c,Mr.,male,28,0,0,7.8542
no,c,Mr.,male,16,0,0,9.5
yes,c,Mr.,male,19,0,0,8.05
no,a,Mr.,male,,0,0,26
no,c,Mr.,male,33,0,0,8.6625
yes,c,Mr.,male,30,0,0,9.5
no,c,Mr.,male,22,0,0,7.8958
yes,b,Mr.,male,42,0,0,13
yes,c,Miss.,female,22,0,0,7.75
yes,a,Miss.,female,26,0,0,78.85
yes,a,Mrs.,female,19,1,0,91.0792
no,b,Mr.,male,36,0,0,12.875
no,c,Miss.,female,24,0,0,8.85
no,c,Mr.,male,24,0,0,7.8958
no,a,Mr.,male,,0,0,27.7208
no,c,Mr.,male,23.5,0,0,7.2292
no,a,Miss.,female,2,1,2,151.55
yes,a,Mr.,male,,0,0,30.5
yes,a,Mrs.,female,50,0,1,247.5208
yes,c,Miss.,female,,0,0,7.75
yes,c,Mr.,male,,2,0,23.25
no,c,Mr.,male,19,0,0,0
yes,b,Miss.,female,,0,0,12.35
no,c,Mr.,male,,0,0,8.05
yes,a,Master,male,0.92,1,2,151.55
yes,a,Miss.,female,,0,0,110.8833
yes,a,Mrs.,female,17,1,0,108.9
no,b,Mr.,male,30,1,0,24
yes,a,Miss.,female,30,0,0,56.9292
yes,a,Miss.,female,24,0,0,83.1583
yes,a,Miss.,female,18,2,2,262.375
no,b,Mrs.,female,26,1,1,26
no,c,Mr.,male,28,0,0,7.8958
no,b,Mr.,male,43,1,1,26.25
yes,c,Miss.,female,26,0,0,7.8542
yes,b,Mrs.,female,24,1,0,26
no,b,noble,male,54,0,0,14
yes,a,Miss.,female,31,0,2,164.8667
yes,a,Mrs.,female,40,1,1,134.5
no,c,Mr.,male,22,0,0,7.25
no,c,Mr.,male,27,0,0,7.8958
yes,b,Miss.,female,30,0,0,12.35
yes,b,Mrs.,female,22,1,1,29
no,c,Mr.,male,,8,2,69.55
yes,a,Miss.,female,36,0,0,135.6333
no,c,Mr.,male,61,0,0,6.2375
yes,b,Mrs.,female,36,0,0,13
yes,c,Mrs.,female,31,1,1,20.525
yes,a,Miss.,female,16,0,1,57.9792
yes,c,Miss.,female,,2,0,23.25
no,a,Mr.,male,45.5,0,0,28.5
no,a,Mr.,male,38,0,1,153.4625
no,c,Mr.,male,16,2,0,18
yes,a,Mrs.,female,,1,0,133.65
no,c,Mr.,male,,0,0,7.8958
no,a,Mr.,male,29,1,0,66.6
yes,a,Miss.,female,41,0,0,134.5
yes,c,Mr.,male,45,0,0,8.05
no,a,Mr.,male,45,0,0,35.5
yes,b,Master,male,2,1,1,26
yes,a,Miss.,female,24,3,2,263
no,b,Mr.,male,28,0,0,13
no,b,Mr.,male,25,0,0,13
no,b,Mr.,male,36,0,0,13
yes,b,Miss.,female,24,0,0,13
yes,b,Miss.,female,40,0,0,13
yes,c,Mrs.,female,,1,0,16.1
yes,c,Master,male,3,1,1,15.9
no,c,Mr.,male,42,0,0,8.6625
no,c,Mr.,male,23,0,0,9.225
no,a,Mr.,male,,0,0,35
no,c,Mr.,male,15,1,1,7.2292
no,c,Mr.,male,25,1,0,17.8
no,c,Mr.,male,,0,0,7.225
no,c,Mr.,male,28,0,0,9.5
yes,a,Miss.,female,22,0,1,55
no,b,Miss.,female,38,0,0,13
yes,c,Miss.,female,,0,0,7.8792
yes,c,Miss.,female,,0,0,7.8792
no,c,Mr.,male,40,1,4,27.9
no,b,Mr.,male,29,1,0,27.7208
no,c,Mrs.,female,45,0,1,14.4542
no,c,Mr.,male,35,0,0,7.05
no,c,Mr.,male,,1,0,15.5
no,c,Mr.,male,30,0,0,7.25
yes,a,Mrs.,female,60,1,0,75.25
yes,c,Mrs.,female,,0,0,7.2292
yes,c,Miss.,female,,0,0,7.75
yes,a,noble,female,24,0,0,69.3
yes,a,Mr.,male,25,1,0,55.4417
no,c,Mr.,male,18,1,0,6.4958
no,c,Mr.,male,19,0,0,8.05
no,a,Mr.,male,22,0,0,135.6333
no,c,Miss.,female,3,3,1,21.075
yes,a,Mrs.,female,,1,0,82.1708
yes,c,Miss.,female,22,0,0,7.25
no,a,Mr.,male,27,0,2,211.5
no,c,Mr.,male,20,0,0,4.0125
no,c,Mr.,male,19,0,0,7.775
yes,a,Miss.,female,42,0,0,227.525
yes,c,Miss.,female,1,0,2,15.7417
no,c,Mr.,male,32,0,0,7.925
yes,a,Mrs.,female,35,1,0,52
no,c,Mr.,male,,0,0,7.8958
no,b,Mr.,male,18,0,0,73.5
no,c,Master,male,1,5,2,46.9
yes,b,Miss.,female,36,0,0,13
no,c,Mr.,male,,0,0,7.7292
yes,b,Miss.,female,17,0,0,12
yes,a,Mr.,male,36,1,2,120
yes,c,Mr.,male,21,0,0,7.7958
no,c,Mr.,male,28,2,0,7.925
yes,a,Miss.,female,23,1,0,113.275
yes,c,Mrs.,female,24,0,2,16.7
no,c,Mr.,male,22,0,0,7.7958
no,c,Miss.,female,31,0,0,7.8542
no,b,Mr.,male,46,0,0,26
no,b,noble,male,23,0,0,10.5
yes,b,Mrs.,female,28,0,0,12.65
yes,c,Mr.,male,39,0,0,7.925
no,c,Mr.,male,26,0,0,8.05
no,c,Miss.,female,21,1,0,9.825
no,c,Mr.,male,28,1,0,15.85
no,c,Miss.,female,20,0,0,8.6625
no,b,Mr.,male,34,1,0,21
no,c,Mr.,male,51,0,0,7.75
yes,b,Master,male,3,1,1,18.75
no,c,Mr.,male,21,0,0,7.775
no,c,Miss.,female,,3,1,25.4667
no,c,Mr.,male,,0,0,7.8958
no,c,Mr.,male,,0,0,6.8583
yes,a,Miss.,female,33,1,0,90
no,b,Mr.,male,,0,0,0
yes,c,Mr.,male,44,0,0,7.925
no,c,Mrs.,female,,0,0,8.05
yes,b,Mrs.,female,34,1,1,32.5
yes,b,Miss.,female,18,0,2,13
no,b,Mr.,male,30,0,0,13
no,c,Miss.,female,10,0,2,24.15
no,c,Mr.,male,,0,0,7.8958
no,c,Mr.,male,21,0,0,7.7333
no,c,Mr.,male,29,0,0,7.875
no,c,Mrs.,female,28,1,1,14.4
no,c,Mr.,male,18,1,1,20.2125
no,c,Mr.,male,,0,0,7.25
yes,b,Mrs.,female,28,1,0,26
yes,b,Miss.,female,19,0,0,26
no,c,Mr.,male,,0,0,7.75
yes,c,Mr.,male,32,0,0,8.05
yes,a,Mr.,male,28,0,0,26.55
yes,c,Mrs.,female,,1,0,16.1
yes,b,Mrs.,female,42,1,0,26
no,c,Mr.,male,17,0,0,7.125
no,a,Mr.,male,50,1,0,55.9
yes,a,Miss.,female,14,1,2,120
no,c,Miss.,female,21,2,2,34.375
yes,b,Mrs.,female,24,2,3,18.75
no,a,Mr.,male,64,1,4,263
no,b,Mr.,male,31,0,0,10.5
yes,b,Mrs.,female,45,1,1,26.25
no,c,Mr.,male,20,0,0,9.5
no,c,Mr.,male,25,1,0,7.775
yes,b,Ms.,female,28,0,0,13
yes,c,Mr.,male,,0,0,8.1125
yes,a,Master,male,4,0,2,81.8583
yes,b,Miss.,female,13,0,1,19.5
yes,a,Mr.,male,34,0,0,26.55
yes,c,Miss.,female,5,2,1,19.2583
yes,a,noble,male,52,0,0,30.5
no,b,Mr.,male,36,1,2,27.75
no,c,Mr.,male,,1,0,19.9667
no,a,Mr.,male,30,0,0,27.75
yes,a,Mr.,male,49,1,0,89.1042
no,c,Mr.,male,,0,0,8.05
yes,c,Mr.,male,29,0,0,7.8958
no,a,Mr.,male,65,0,0,26.55
yes,a,Mrs.,female,,1,0,51.8625
yes,b,Miss.,female,50,0,0,10.5
no,c,Mr.,male,,0,0,7.75
yes,a,Mr.,male,48,0,0,26.55
no,c,Mr.,male,34,0,0,8.05
no,a,Mr.,male,47,0,0,38.5
no,b,Mr.,male,48,0,0,13
no,c,Mr.,male,,0,0,8.05
no,c,Mr.,male,38,0,0,7.05
no,b,Mr.,male,,0,0,0
no,a,Mr.,male,56,0,0,26.55
no,c,Mr.,male,,0,0,7.725
yes,c,Miss.,female,0.75,2,1,19.2583
no,c,Mr.,male,,0,0,7.25
no,c,Mr.,male,38,0,0,8.6625
yes,b,Mrs.,female,33,1,2,27.75
yes,b,Mrs.,female,23,0,0,13.7917
no,c,Miss.,female,22,0,0,9.8375
no,a,Mr.,male,,0,0,52
no,b,Mr.,male,34,1,0,21
no,c,Mr.,male,29,1,0,7.0458
no,c,Mr.,male,22,0,0,7.5208
yes,c,Miss.,female,2,0,1,12.2875
no,c,Master,male,9,5,2,46.9
no,b,Mr.,male,,0,0,0
no,c,Mr.,male,50,0,0,8.05
yes,c,Mrs.,female,63,0,0,9.5875
yes,a,Mr.,male,25,1,0,91.0792
no,c,Miss.,female,,3,1,25.4667
yes,a,Mrs.,female,35,1,0,90
no,a,Mr.,male,58,0,0,29.7
no,c,Mr.,male,30,0,0,8.05
yes,c,Master,male,9,1,1,15.9
no,c,Mr.,male,,1,0,19.9667
no,c,Mr.,male,21,0,0,7.25
no,a,Mr.,male,55,0,0,30.5
no,a,Mr.,male,71,0,0,49.5042
no,c,Mr.,male,21,0,0,8.05
no,c,Mr.,male,,0,0,14.4583
yes,a,Miss.,female,54,1,0,78.2667
no,c,Mr.,male,,0,0,15.1
no,a,Mrs.,female,25,1,2,151.55
no,c,Mr.,male,24,0,0,7.7958
no,c,Mr.,male,17,0,0,8.6625
no,c,Miss.,female,21,0,0,7.75
no,c,Miss.,female,,0,0,7.6292
no,c,Miss.,female,37,0,0,9.5875
yes,a,Miss.,female,16,0,0,86.5
no,a,Mr.,male,18,1,0,108.9
yes,b,Mrs.,female,33,0,2,26
yes,a,Mr.,male,,0,0,26.55
no,c,Mr.,male,28,0,0,22.525
yes,c,Mr.,male,26,0,0,56.4958
yes,c,Mr.,male,29,0,0,7.75
no,c,Mr.,male,,0,0,8.05
yes,a,Mr.,male,36,0,0,26.2875
yes,a,Mrs.,female,54,1,0,59.4
no,c,Mr.,male,24,0,0,7.4958
no,a,Mr.,male,47,0,0,34.0208
yes,b,Mrs.,female,34,0,0,10.5
no,c,Mr.,male,,0,0,24.15
yes,b,Mrs.,female,36,1,0,26
no,c,Mr.,male,32,0,0,7.8958
yes,a,Miss.,female,30,0,0,93.5
no,c,Mr.,male,22,0,0,7.8958
no,c,Mr.,male,,0,0,7.225
yes,a,Mrs.,female,44,0,1,57.9792
no,c,Mr.,male,,0,0,7.2292
no,c,Mr.,male,40.5,0,0,7.75
yes,b,Miss.,female,50,0,0,10.5
no,a,Mr.,male,,0,0,221.7792
no,c,Mr.,male,39,0,0,7.925
no,b,Mr.,male,23,2,1,11.5
yes,b,Miss.,female,2,1,1,26
no,c,Mr.,male,,0,0,7.2292
no,c,Mr.,male,17,1,1,7.2292
yes,c,Mrs.,female,,0,2,22.3583
no,c,Miss.,female,30,0,0,8.6625
yes,b,Miss.,female,7,0,2,26.25
no,a,noble,male,45,0,0,26.55
yes,a,Miss.,female,30,0,0,106.425
no,c,Mr.,male,,0,0,14.5
yes,a,Miss.,female,22,0,2,49.5
yes,a,Miss.,female,36,0,2,71
no,c,Miss.,female,9,4,2,31.275
no,c,Miss.,female,11,4,2,31.275
yes,b,Mr.,male,32,1,0,26
no,a,Mr.,male,50,1,0,106.425
no,a,Mr.,male,64,0,0,26
yes,b,Mrs.,female,19,1,0,26
yes,b,Mr.,male,,0,0,13.8625
no,c,Mr.,male,33,1,1,20.525
yes,b,Master,male,8,1,1,36.75
yes,a,Mr.,male,17,0,2,110.8833
no,b,Mr.,male,27,0,0,26
no,c,Mr.,male,,0,0,7.8292
yes,c,Mr.,male,22,0,0,7.225
yes,c,Miss.,female,22,0,0,7.775
no,a,Mr.,male,62,0,0,26.55
yes,a,noble,female,48,1,0,39.6
no,a,Mr.,male,,0,0,227.525
yes,a,Mrs.,female,39,1,1,79.65
yes,c,Mrs.,female,36,1,0,17.4
no,c,Mr.,male,,0,0,7.75
no,c,Mr.,male,40,0,0,7.8958
no,b,Mr.,male,28,0,0,13.5
no,c,Mr.,male,,0,0,8.05
no,c,Miss.,female,,0,0,8.05
no,c,Mr.,male,24,2,0,24.15
no,c,Mr.,male,19,0,0,7.8958
no,c,Mrs.,female,29,0,4,21.075
no,c,Mr.,male,,0,0,7.2292
yes,c,Mr.,male,32,0,0,7.8542
yes,b,Mr.,male,62,0,0,10.5
yes,a,Mrs.,female,53,2,0,51.4792
yes,a,Mr.,male,36,0,0,26.3875
yes,c,Miss.,female,,0,0,7.75
no,c,Mr.,male,16,0,0,8.05
no,c,Mr.,male,19,0,0,14.5
yes,b,Miss.,female,34,0,0,13
yes,a,Mrs.,female,39,1,0,55.9
no,c,Mrs.,female,,1,0,14.4583
yes,c,Mr.,male,32,0,0,7.925
yes,b,Miss.,female,25,1,1,30
yes,a,Mrs.,female,39,1,1,110.8833
no,b,Mr.,male,54,0,0,26
no,a,Mr.,male,36,0,0,40.125
no,c,Mr.,male,,0,0,8.7125
yes,a,Miss.,female,18,0,2,79.65
no,b,Mr.,male,47,0,0,15
yes,a,Mr.,male,60,1,1,79.2
no,c,Mr.,male,22,0,0,8.05
no,c,Mr.,male,,0,0,8.05
no,c,Mr.,male,35,0,0,7.125
yes,a,Mrs.,female,52,1,0,78.2667
no,c,Mr.,male,47,0,0,7.25
no,c,Miss.,female,,0,2,7.75
no,b,Mr.,male,37,1,0,26
no,c,Mr.,male,36,1,1,24.15
yes,b,Miss.,female,,0,0,33
no,c,Mr.,male,49,0,0,0
no,c,Mr.,male,,0,0,7.225
yes,a,noble,male,49,1,0,56.9292
yes,b,Mrs.,female,24,2,1,27
no,c,Mr.,male,,0,0,7.8958
no,a,Mr.,male,,0,0,42.4
no,c,Mr.,male,44,0,0,8.05
yes,a,Mr.,male,35,0,0,26.55
no,c,Mr.,male,36,1,0,15.55
no,c,Mr.,male,30,0,0,7.8958
yes,a,Mr.,male,27,0,0,30.5
yes,b,Mrs.,female,22,1,2,41.5792
yes,a,Miss.,female,40,0,0,153.4625
no,c,Mrs.,female,39,1,5,31.275
no,c,Mr.,male,,0,0,7.05
yes,c,Miss.,female,,1,0,15.5
no,c,Mr.,male,,0,0,7.75
no,c,Mr.,male,35,0,0,8.05
yes,b,Miss.,female,24,1,2,65
no,c,Mr.,male,34,1,1,14.4
no,c,Mrs.,female,26,1,0,16.1
yes,b,Miss.,female,4,2,1,39
no,b,Mr.,male,26,0,0,10.5
no,c,Mr.,male,27,1,0,14.4542
yes,a,Mr.,male,42,1,0,52.5542
yes,c,Mr.,male,20,1,1,15.7417
no,c,Mr.,male,21,0,0,7.8542
no,c,Mr.,male,21,0,0,16.1
no,a,Mr.,male,61,0,0,32.3208
no,b,noble,male,57,0,0,12.35
yes,a,Miss.,female,21,0,0,77.9583
no,c,Mr.,male,26,0,0,7.8958
no,c,Mr.,male,,0,0,7.7333
yes,a,Mr.,male,80,0,0,30
no,c,Mr.,male,51,0,0,7.0542
yes,a,noble,male,32,0,0,30.5
no,a,Mr.,male,,0,0,0
no,c,Miss.,female,9,3,2,27.9
yes,b,Miss.,female,28,0,0,13
no,c,Mr.,male,32,0,0,7.925
no,b,Mr.,male,31,1,1,26.25
no,c,Mrs.,female,41,0,5,39.6875
no,c,Mr.,male,,1,0,16.1
no,c,Mr.,male,20,0,0,7.8542
yes,a,noble,female,24,0,0,69.3
no,c,Miss.,female,2,3,2,27.9
yes,c,Mr.,male,,0,0,56.4958
yes,c,Miss.,female,0.75,2,1,19.2583
yes,a,Mr.,male,48,1,0,76.7292
no,c,Mr.,male,19,0,0,7.8958
yes,a,noble,male,56,0,0,35.5
no,c,Mr.,male,,0,0,7.55
yes,c,Miss.,female,23,0,0,7.55
no,c,Mr.,male,,0,0,7.8958
yes,b,Miss.,female,18,0,1,23
no,c,Mr.,male,21,0,0,8.4333
yes,c,Miss.,female,,0,0,7.8292
no,c,Miss.,female,18,0,0,6.75
no,b,Mr.,male,24,2,0,73.5
